STATE,NAME,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIO,WIND,SOLAR,GEO,OTHER1,OTHER2,OTHER,ENERGY
NC,Dessie Solar Center LLC,34.302778,-78.835833,0,0,0,0,0,0,0,8378,0,0,0,,SOLAR
NC,Dibrell Farm,36.471667,-79.528056,0,0,0,0,0,0,0,8478,0,0,0,,SOLAR
NC,Dixon Dairy Road Solar,35.199167,-81.410833,0,0,0,0,0,0,0,6784,0,0,0,,SOLAR
NC,"Dogwood Solar, LLC",36.125,-77.409167,0,0,0,0,0,0,0,35083,0,0,0,,SOLAR
NC,Domtar Paper Co LLC Plymouth NC,35.8628,-76.7831,0,6354,23914,0,0,373426,0,0,0,0,0,,BIOMASS
NC,Downs Farm Solar,36.361944,-76.916944,0,0,0,0,0,0,0,8605,0,0,0,,SOLAR
NC,Dragstrip Farm,35.758056,-81.416111,0,0,0,0,0,0,0,8898,0,0,0,,SOLAR
NC,Drexel Operations Center,35.7481,-81.6072,0,21,0,0,0,0,0,0,0,0,0,,OIL
NC,DSM Pharmaceuticals,35.665961,-77.35744,0,777,304,0,0,0,0,0,0,0,0,,GAS
NC,Duck Solar,35.438056,-81.865,,,,,,,,,,,,,SOLAR
NC,Dunn,35.475,-78.548611,0,0,0,0,0,0,0,3565,0,0,0,,SOLAR
NC,Duplin Solar I LLC (160 Houston Lane),34.960083,-77.980388,0,0,0,0,0,0,0,8056,0,0,0,,SOLAR
NC,Duplin Solar LLC,35.011944,-78.078333,0,0,0,0,0,0,0,8870,0,0,0,,SOLAR
NC,Durham Solar,36.004941,-78.848475,0,0,0,0,0,0,0,5921,0,0,0,,SOLAR
NC,E Nash PV1,35.964202,-78.098071,,,,,,,,,,,,,SOLAR
NC,Eagle Solar,36.458327,-78.155087,,,,,,,,,,,,,SOLAR
NC,East Wayne Solar LLC,35.441667,-77.85,0,0,0,0,0,0,0,3669,0,0,0,,SOLAR
NC,Eastover Farm,34.742222,-79.463056,0,0,0,0,0,0,0,8948,0,0,0,,SOLAR
NC,Eastside WWTP,35.9428,-79.9089,0,228,0,0,0,0,0,0,0,0,0,,OIL
NC,"Eastway Solar, LLC",34.620938,-78.591689,,,,,,,,,,,,,SOLAR
NC,Eden Solar LLC,35.148503,-79.636372,0,0,0,0,0,0,0,85098,0,0,0,,SOLAR
NC,Edenton Generators,36.028611,-76.571944,0,95,0,0,0,0,0,0,0,0,0,,OIL
NC,Edenton Solar,36.054,-76.544,,,,,,,,,,,,,SOLAR
NC,"Edgecombe Genco, LLC",36.037318,-77.753345,9082,0,0,0,0,0,0,0,0,0,0,,COAL
